customer,X,Y,Z,W
A,0.57598955,0.777118137,0.65274764,0.83381609
B,0.446599442,0.408324547,0.659770852,0.649340353
C,0.050930214,0.86755398,0.536182549,0.152482614
D,0.278899212,0.364894767,0.739332636,0.679998514
E,0.367527047,0.590137047,0.32507779,0.748143212
F,0.619091281,0.032942771,0.07832062,0.107147576
G,0.062620447,0.652345177,0.115197669,0.31710876
H,0.439478267,0.284590563,0.855740154,0.729400577
I,0.776688419,0.778214933,0.577365985,0.594826759
J,0.149310313,0.653975284,0.134956692,0.729982347
K,0.907514972,0.407000702,0.744917392,0.561791731
L,0.761411305,0.866768777,0.969175054,0.746590684
M,0.949200047,0.8879406,0.668466397,0.80084621
N,0.853815744,0.387423024,0.703211592,0.192162329
O,0.743724632,0.931702483,0.074272749,0.123364602
P,0.815169221,0.555128048,0.738471501,0.52407793
Q,0.88015183,0.464958223,0.605501646,0.13561979
R,0.418208821,0.022939785,0.528914282,0.664237391
S,0.160698078,0.430215059,0.429349653,0.104149801
T,0.1644974,0.743706676,0.457501157,0.01971752
U,0.355917427,0.721900328,0.668392371,0.836894308
V,0.393320191,0.94941369,0.010565798,0.91140756
